,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2022-12-28,01:15:59.001,    7.25,    6.15,    7.18,    6.06,    7.26,    6.19,,,,,,,   21.68,   18.40,     18828,   40.09,   11.57,   11.45,   11.39,   11.13,   11.61,   11.64,,,,,,,   34.58,   34.23,     18828,   68.81,     56.26,     52.63,    108.89
2022-12-28,01:16:00.001,   11.70,   10.02,   11.68,    9.95,   11.74,   10.11,,,,,,,   35.12,   30.07,     18833,   65.20,   22.41,  101.28,   22.91,  102.13,   22.59,  101.70,,,,,,,   67.91,  305.11,     18833,  373.03,    103.04,    335.18,    438.22
2022-12-28,01:16:01.001,   14.45,   10.25,   14.43,   10.22,   14.65,   10.50,,,,,,,   43.52,   30.96,     18812,   74.48,   41.93,  142.75,   41.86,  142.34,   42.12,  142.90,,,,,,,  125.91,  427.98,     18813,  553.90,    169.44,    458.94,    628.38
2022-12-28,01:16:02.001,    6.00,    4.87,    5.95,    4.82,    6.00,    4.91,,,,,,,   17.96,   14.60,     18830,   32.56,   20.00,  127.13,   19.92,  126.95,   20.13,  127.43,,,,,,,   60.05,  381.50,     18830,  441.55,     78.00,    396.10,    474.11
2022-12-28,01:16:03.001,   20.29,   15.35,   20.13,   15.17,   20.12,   15.04,,,,,,,   60.54,   45.56,     18812,  106.10,   24.94,  129.30,   24.85,  129.18,   25.10,  129.66,,,,,,,   74.89,  388.15,     18812,  463.04,    135.43,    433.71,    569.14
2022-12-28,01:16:04.001,    6.63,    6.21,    6.58,    6.10,    6.60,    6.13,,,,,,,   19.81,   18.45,     18813,   38.26,   25.60,  128.94,   25.51,  128.72,   25.71,  129.29,,,,,,,   76.82,  386.95,     18814,  463.77,     96.64,    405.40,    502.03
2022-12-28,01:16:05.001,   11.26,   10.80,   11.20,   10.69,   11.28,   10.84,,,,,,,   33.75,   32.33,     18831,   66.09,   27.82,  132.30,   27.88,  132.33,   27.84,  132.48,,,,,,,   83.53,  397.11,     18830,  480.65,    117.28,    429.45,    546.73
2022-12-28,01:16:06.001,    6.78,    5.79,    6.75,    5.70,    6.79,    5.82,,,,,,,   20.32,   17.31,     18812,   37.63,   28.74,  133.27,   28.65,  133.20,   28.87,  133.67,,,,,,,   86.27,  400.14,     18813,  486.40,    106.59,    417.45,    524.03
2022-12-28,01:16:07.001,    5.44,    3.68,    5.41,    3.67,    5.43,    3.65,,,,,,,   16.28,   10.99,     18829,   27.28,   20.17,  124.57,   20.05,  124.42,   20.28,  124.91,,,,,,,   60.51,  373.90,     18829,  434.41,     76.79,    384.89,    461.69
