,22500,10000,20000,15000,17500,12500
0,508,509.0,509.0,510.0,508.0,508.0
1,1110,1109.0,1112.0,1113.0,1110.0,1110.0
2,1713,2354.0,1716.0,1718.0,1713.0,1709.0
3,2318,2354.0,2322.0,2320.0,2318.0,2314.0
4,2925,2354.0,2930.0,2928.0,2920.0,3646.0
5,3533,2354.0,3531.0,4731.0,3529.0,3646.0
6,4133,2354.0,4142.0,5225.0,4140.0,3646.0
7,4746,2354.0,4755.0,5225.0,5404.0,3646.0
8,5360,,5370.0,5225.0,7089.0,3646.0
9,5975,,5986.0,5225.0,7089.0,3646.0
10,6592,,9240.0,5225.0,7089.0,3646.0
11,7211,,9240.0,5225.0,7089.0,3646.0
12,9039,,9240.0,5225.0,7089.0,3646.0
13,11677,,9240.0,5225.0,7089.0,3646.0
14,11677,,9240.0,5225.0,7089.0,3646.0
15,11677,,9240.0,5225.0,7089.0,
16,11677,,9240.0,5225.0,7089.0,
17,11677,,9240.0,5225.0,7089.0,
18,11677,,9240.0,5225.0,7089.0,
19,11677,,9240.0,5225.0,7089.0,
20,11677,,9240.0,5225.0,7089.0,
21,11677,,9240.0,5225.0,7089.0,
22,11677,,9240.0,5225.0,7089.0,
23,11677,,9240.0,5225.0,7089.0,
24,11677,,9240.0,5225.0,7089.0,
25,11677,,9240.0,,7089.0,
26,11677,,9240.0,,7089.0,
27,11677,,9240.0,,7089.0,
28,11677,,9240.0,,7089.0,
29,11677,,9240.0,,7089.0,
30,11677,,9240.0,,7089.0,
31,11677,,9240.0,,7089.0,
32,11677,,9240.0,,7089.0,
33,11677,,9240.0,,7089.0,
34,11677,,9240.0,,7089.0,
35,11677,,9240.0,,7089.0,
36,11677,,9240.0,,7089.0,
37,11677,,9240.0,,7089.0,
38,11677,,9240.0,,2416.0,
39,11677,,9240.0,,,
40,11677,,9240.0,,,
41,11677,,9240.0,,,
42,11677,,9240.0,,,
43,11677,,9240.0,,,
44,11677,,9240.0,,,
45,11677,,9240.0,,,
46,11677,,9240.0,,,
47,11677,,9240.0,,,
48,11677,,9240.0,,,
49,11677,,9240.0,,,
50,11677,,9240.0,,,
51,11677,,9240.0,,,
52,11677,,9240.0,,,
53,11677,,9240.0,,,
54,11677,,9240.0,,,
55,11677,,85.0,,,
56,11677,,,,,
57,11677,,,,,
58,11677,,,,,
59,11677,,,,,
60,11677,,,,,
61,11677,,,,,
62,11677,,,,,
63,11677,,,,,
64,11677,,,,,
65,11677,,,,,
66,11677,,,,,
67,11677,,,,,
68,11677,,,,,
69,11677,,,,,
70,11677,,,,,
71,11677,,,,,
72,11677,,,,,
73,11677,,,,,
74,11677,,,,,
75,11677,,,,,
76,11677,,,,,
77,90,,,,,
